t,v
2017-03-21T00:00:00Z,32893
2017-03-22T00:00:00Z,30363
2017-03-23T00:00:00Z,30333
2017-03-24T00:00:00Z,35997
2017-03-25T00:00:00Z,33765
2017-03-26T00:00:00Z,30223
2017-03-27T00:00:00Z,33502
2017-03-28T00:00:00Z,32428
2017-03-29T00:00:00Z,33236
2017-03-30T00:00:00Z,38687
2017-03-31T00:00:00Z,44805
2017-04-01T00:00:00Z,32141
2017-04-02T00:00:00Z,35568
2017-04-03T00:00:00Z,42695
2017-04-04T00:00:00Z,35370
2017-04-05T00:00:00Z,35431
2017-04-06T00:00:00Z,40185
2017-04-07T00:00:00Z,32326
2017-04-08T00:00:00Z,29289
2017-04-09T00:00:00Z,28595
2017-04-10T00:00:00Z,31474
2017-04-11T00:00:00Z,30656
2017-04-12T00:00:00Z,32285
2017-04-13T00:00:00Z,34002
2017-04-14T00:00:00Z,32489
2017-04-15T00:00:00Z,30928
2017-04-16T00:00:00Z,27796
2017-04-17T00:00:00Z,29452
2017-04-18T00:00:00Z,34009
2017-04-19T00:00:00Z,34289
2017-04-20T00:00:00Z,35689
2017-04-21T00:00:00Z,31503
2017-04-22T00:00:00Z,30617
2017-04-23T00:00:00Z,30808
2017-04-24T00:00:00Z,35263
2017-04-25T00:00:00Z,33686
2017-04-26T00:00:00Z,40987
2017-04-27T00:00:00Z,47033
2017-04-28T00:00:00Z,42618
2017-04-29T00:00:00Z,39482
2017-04-30T00:00:00Z,41952
2017-05-01T00:00:00Z,48068
2017-05-02T00:00:00Z,45636
2017-05-03T00:00:00Z,41350
2017-05-04T00:00:00Z,51304
2017-05-05T00:00:00Z,50095
2017-05-06T00:00:00Z,42975
2017-05-07T00:00:00Z,48071
2017-05-08T00:00:00Z,55752
2017-05-09T00:00:00Z,51882
2017-05-10T00:00:00Z,50549
2017-05-11T00:00:00Z,52736
2017-05-12T00:00:00Z,47082
2017-05-13T00:00:00Z,42604
2017-05-14T00:00:00Z,44514
2017-05-15T00:00:00Z,52248
2017-05-16T00:00:00Z,51916
2017-05-17T00:00:00Z,59459
2017-05-18T00:00:00Z,59035
2017-05-19T00:00:00Z,72064
2017-05-20T00:00:00Z,52675
2017-05-21T00:00:00Z,60677
2017-05-22T00:00:00Z,76476
2017-05-23T00:00:00Z,84426
2017-05-24T00:00:00Z,82146
2017-05-25T00:00:00Z,81901
2017-05-26T00:00:00Z,75678
2017-05-27T00:00:00Z,65270
2017-05-28T00:00:00Z,63973
2017-05-29T00:00:00Z,69562
2017-05-30T00:00:00Z,84007
2017-05-31T00:00:00Z,102402
2017-06-01T00:00:00Z,95595
2017-06-02T00:00:00Z,80264
2017-06-03T00:00:00Z,79329
2017-06-04T00:00:00Z,81575
2017-06-05T00:00:00Z,90299
2017-06-06T00:00:00Z,93592
2017-06-07T00:00:00Z,91758
2017-06-08T00:00:00Z,87234
2017-06-09T00:00:00Z,98331
2017-06-10T00:00:00Z,102761
2017-06-11T00:00:00Z,116037
2017-06-12T00:00:00Z,143038
2017-06-13T00:00:00Z,140491
2017-06-14T00:00:00Z,125473
2017-06-15T00:00:00Z,128654
2017-06-16T00:00:00Z,115990
2017-06-17T00:00:00Z,114297
2017-06-18T00:00:00Z,117416
2017-06-19T00:00:00Z,135673
2017-06-20T00:00:00Z,149150
2017-06-21T00:00:00Z,119668
2017-06-22T00:00:00Z,144497
2017-06-23T00:00:00Z,140575
2017-06-24T00:00:00Z,124772
2017-06-25T00:00:00Z,118434
2017-06-26T00:00:00Z,161094
2017-06-27T00:00:00Z,130722
2017-06-28T00:00:00Z,133105
2017-06-29T00:00:00Z,128143
2017-06-30T00:00:00Z,125613
2017-07-01T00:00:00Z,118104
2017-07-02T00:00:00Z,116149
2017-07-03T00:00:00Z,139504
2017-07-04T00:00:00Z,136998
